url,repo_name,watchers,stars,forks,commits,branches,releases,contributors,,
https://github.com/Freelander/Android_Data,Android_Data,726,6932,1905,107,1,0,,,
https://github.com/Freeyourgadget/Gadgetbridge,Gadgetbridge,138,1824,306,3,193,8,118,,
https://github.com/frogermcs/InstaMaterial,InstaMaterial,302,4534,1374,123,3,9,3,,
https://github.com/frogermcs/LikeAnimation,LikeAnimation,43,1512,235,8,1,0,2,,
https://github.com/Froussios/Intro-To-RxJava,Intro-To-RxJava,99,1542,313,310,2,0,,,
https://github.com/futuresimple/android-floating-action-button,android-floating-action-button,259,5298,1423,154,3,15,10,,
https://github.com/fyhertz/libstreaming,libstreaming,237,2053,808,121,2,6,6,,
https://github.com/fython/MaterialStepperView,MaterialStepperView,33,1667,176,39,1,6,3,,
https://github.com/gabrielemariotti/cardslib,cardslib,352,4744,1297,652,4,28,12,,
https://github.com/gabrielemariotti/RecyclerViewItemAnimators,RecyclerViewItemAnimators,139,2848,690,37,2,2,1,,
https://github.com/garretyoder/Colorful,Colorful,41,1684,162,2,1,14,1,,
https://github.com/GcsSloop/AndroidNote,AndroidNote,305,4819,1291,1,356,2,0,,
https://github.com/geeeeeeeeek/WeChatLuckyMoney,WeChatLuckyMoney,420,5705,1936,187,11,19,8,,
https://github.com/geftimov/android-pathview,android-pathview,99,2256,445,82,1,2,10,,
https://github.com/gephi/gephi,gephi,215,2467,1154,4,599,10,12,,
https://github.com/githubwing/ZoomHeader,ZoomHeader,50,2115,353,19,1,0,1,,
https://github.com/GitLqr/LQRWeChat,LQRWeChat,85,1985,623,18,2,0,1,,
